symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,exit_reason
COLPAL,2023-05-31,2023-06-09,1508.86,1513.7,0.32,TIME_EXIT
CONCOR,2023-10-12,2023-10-23,675.84,675.5,-0.05,TIME_EXIT
CONCOR,2024-05-31,2024-06-03,1043.07,1139.53,9.25,TARGET_HIT
COROMANDEL,2024-01-15,2024-01-17,1188.0,1145.23,-3.6,MOMENTUM_FADE
COROMANDEL,2024-11-14,2024-11-22,1697.31,1786.82,5.27,PARTIAL_EXIT_50%
COROMANDEL,2024-11-14,2024-11-25,1697.31,1775.94,4.63,TIME_EXIT_RUNNER
COROMANDEL,2025-01-16,2025-01-22,1855.02,1757.4,-5.26,STOP_LOSS
COROMANDEL,2025-06-09,2025-06-12,2392.64,2289.35,-4.32,STOP_LOSS
CROMPTON,2024-02-02,2024-02-06,299.7,283.9,-5.27,STOP_LOSS
CROMPTON,2024-07-05,2024-07-12,403.24,427.94,6.13,PARTIAL_EXIT_50%
CROMPTON,2024-07-05,2024-07-16,403.24,427.44,6.0,TIME_EXIT_RUNNER
CROMPTON,2024-08-13,2024-08-21,432.4,463.87,7.28,PARTIAL_EXIT_50%
CROMPTON,2024-08-13,2024-08-22,432.4,458.17,5.96,TIME_EXIT_RUNNER
CROMPTON,2024-09-10,2024-09-16,462.83,443.95,-4.08,STOP_LOSS
DABUR,2025-02-12,2025-02-18,517.8,507.36,-2.02,MOMENTUM_FADE
DABUR,2026-01-28,2026-02-02,515.75,499.0,-3.25,STOP_LOSS
DALBHARAT,2023-10-10,2023-10-19,2235.27,2183.84,-2.3,TIME_EXIT
DELHIVERY,2023-05-22,2023-05-31,361.85,349.2,-3.5,TIME_EXIT
DELHIVERY,2023-06-12,2023-06-21,382.7,388.6,1.54,TIME_EXIT
DELHIVERY,2024-01-24,2024-01-29,400.2,427.85,6.91,PARTIAL_EXIT_50%
DELHIVERY,2024-01-24,2024-01-31,400.2,449.45,12.31,TARGET_HIT_RUNNER
DELHIVERY,2025-06-18,2025-06-25,365.35,388.15,6.24,PARTIAL_EXIT_50%
DELHIVERY,2025-06-18,2025-06-27,365.35,382.65,4.74,TIME_EXIT_RUNNER
DIXON,2021-11-25,2021-11-29,5212.12,4994.1,-4.18,STOP_LOSS
DLF,2022-04-21,2022-04-25,378.83,353.71,-6.63,STOP_LOSS
DRREDDY,2022-04-20,2022-04-25,835.93,801.29,-4.14,STOP_LOSS
EICHERMOT,2022-05-19,2022-05-30,2542.72,2646.28,4.07,TIME_EXIT
FEDERALBNK,2022-02-07,2022-02-16,95.88,95.98,0.1,TIME_EXIT
FEDERALBNK,2022-02-21,2022-02-24,96.12,90.44,-5.91,STOP_LOSS
GAIL,2024-02-26,2024-03-05,169.19,180.33,6.59,PARTIAL_EXIT_50%
GAIL,2024-02-26,2024-03-06,169.19,176.94,4.59,TIME_EXIT_RUNNER
GODREJCP,2024-07-05,2024-07-10,1335.23,1403.55,5.12,PARTIAL_EXIT_50%
GODREJCP,2024-07-05,2024-07-16,1335.23,1411.96,5.75,TIME_EXIT_RUNNER
GODREJCP,2024-07-29,2024-08-07,1436.4,1461.58,1.75,TIME_EXIT
GRASIM,2021-10-26,2021-11-04,1699.61,1750.62,3.0,TIME_EXIT
GUJGASLTD,2022-11-18,2022-11-29,484.06,480.98,-0.64,TIME_EXIT
GUJGASLTD,2024-03-26,2024-04-04,537.47,535.17,-0.43,TIME_EXIT
